"時間","場所名","住所","該当ページURL","充電場所HP","充電器タイプ","利用可能時間","充電器タイプ","充電器出力","ビジター料金","その他","充電器総数","利用可能","利用中","故障中","休止中","未使用"
02/10/25 11:14,東北自動車道　津軽ＳＡ（上り）,青森県平川市沖舘字比山館３２－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,弘前市
02/10/25 11:14,取得ミス,,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大25kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,八戸市
02/10/25 11:14,取得ミス,,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大25kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,八戸市
02/10/25 11:14,日産青森　三戸店,青森県三戸郡南部町大字沖田面字千刈２４,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,八戸市
02/10/25 11:14,日産青森　八戸店,青森県八戸市大字長苗代字二日市６－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,八戸市
02/10/25 11:15,日産青森　根城店,青森県八戸市根城７丁目１－３３,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,八戸市
02/10/25 11:15,サティオ弘前　五所川原店,青森県五所川原市広田柳沼５７－１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大50kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,五所川原市
02/10/25 11:15,ローソン五戸上市川店,青森県三戸郡五戸町大字上市川字沼廻２３,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大25kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,十和田市
02/10/25 11:15,ローソン八戸北バイパス店,青森県八戸市大字市川町字田ノ沢頭３０−２２,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大25kW,最初の5分まで275円、以降1分毎に55円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,十和田市
02/10/25 11:15,日産青森　十和田北店,青森県十和田市大字洞内字井戸頭１４４－７１１,https://www.evcharger-network.com/chg_spot_search/,,急速充電器,00:00 ～ 23:59,CHAdeMO,最大44kW,充電1回当たり2970円,,1,1台利用できます,0台利用中です,0台休止中です,青森県,十和田市
